idCategoria|Categoría
1243|AGENCIA DE VIAJES INTERNACIONAL
1244|AGENCIA DE VIAJES INTERNACIONAL
1245|AGENCIA DE VIAJES DUAL
1246|OPERADOR TURÍSTICO
1247|AGENCIA DE VIAJES DUAL
1248|(1) Una tazas
1249|(1) Una tazas
1250|(1) Una tazas
1251|(1) Una tazas
1252|(1) Una tazas
1253|(1) Una tazas
1254|(1) Una tazas
1255|(1) Una tazas
1256|(1) Una tazas
1257|(1) Una tazas
1258|(1) Una tazas
1259|(1) Una tazas
1260|TERCERA
1261|SEGUNDA
1262|SEGUNDA
1263|PRIMERA
1264|(1) Una taza
1265|(1) Una taza
1266|TERCERA
1267|PRIMERA
1268|LUJO / 2 TAZAS
1269|AGENCIA DE VIAJES INTERNACIONAL
1270|AGENCIA DE VIAJES DUAL
1271|AGENCIA DE VIAJES DUAL
1272|AGENCIA DE VIAJES DUAL
1273|AGENCIA DE VIAJES DUAL
1274|3 Estrellas
1275|SEGUNDA
1276|SEGUNDA
1277|3 Estrellas
1278|AGENCIA DE VIAJES DUAL
1279|OPERADOR TURÍSTICO
1280|SEGUNDA
1281|(3) Tres tenedores
1282|SERVICIO TRANSP.TERRES.TURIS.
1283|SERVICIO TRANSP.TERRES.TURIS.
1284|PRIMERA
1285|SERVICIO TRANSP.TERRES.TURIS.
1286|SERVICIO TRANSP.TERRES.TURIS.
1287|RENT A CAR
1288|SEGUNDA
1289|TERCERA
1290|SERVICIO TRANSP.TERRES.TURIS.
1291|SERVICIO TRANSP.TERRES.TURIS.
1292|RENT A CAR
1293|SERVICIO TRANSP.TERRES.TURIS.
1294|4 Estrellas
1295|OPERADOR TURÍSTICO
1296|AGENCIA DE VIAJES DUAL
1297|3 Estrellas
1298|AGENCIA DE VIAJES DUAL
1299|AGENCIA DE VIAJES DUAL
1300|OPERADOR TURÍSTICO
1301|PRIMERA
1302|(2) Dos tenedores
1303|AGENCIA DE VIAJES INTERNACIONAL
1304|(2) Dos tenedores
1305|(3) Tres tenedores
1306|(3) Tres tenedores
