id|Categoría |id_1
15309|CUARTA|317
15310|TERCERA|318
15311|CUARTA|319
15312|CUARTA|320
15313|TERCERA|321
15314|TERCERA|322
15315|TERCERA|323
15316|TERCERA|324
15317|SEGUNDA|325
15318|TERCERA|326
15319|CUARTA|327
15320|TERCERA|328
15321|CUARTA|329
15322|(1) Un tenedor|330
15323|CUARTA|331
15324|CUARTA|332
15325|CUARTA|333
15326|TERCERA|334
15327|CUARTA|335
15328|CUARTA|336
15329|CUARTA|337
15330|CUARTA|338
15331|CUARTA|339
15332|CUARTA|340
15333|CUARTA|341
15334|CUARTA|342
15335|TERCERA|343
15336|TERCERA|344
15337|TERCERA|345
15338|CUARTA|346
15339|CUARTA|347
15340|CUARTA|348
15341|CUARTA|349
15342|CUARTA|350
15343|CUARTA|351
15344|CUARTA|352
15345|TERCERA|353
15346|TERCERA|354
15347|TERCERA|355
15348|(1) Un tenedor|356
15349|TERCERA|357
15350|CUARTA|358
15351|TERCERA|359
15352|CUARTA|360
15353|CUARTA|361
15354|CUARTA|362
15355|CUARTA|363
15356|CUARTA|364
15357|CUARTA|365
15358|CUARTA|366
15359|CUARTA|367
15360|TERCERA|368
15361|CUARTA|369
15362|CUARTA|370
15363|CUARTA|371
15364|TERCERA|372
15365|CUARTA|373
15366|(1) Un tenedor|374
15367|TERCERA|375
15368|TERCERA|376
15369|SEGUNDA|377
15370|CUARTA|378
15371|CUARTA|379
15372|TERCERA|380
15373|TERCERA|381
15374|CUARTA|382
15375|CUARTA|383
15376|TERCERA|384
15377|CUARTA|385
15378|SEGUNDA|386
15379|SEGUNDA|387
15380|TERCERA|388
15381|TERCERA|389
15382|TERCERA|390
15383|AGENCIA DE VIAJES DUAL|391
15384|SEGUNDA|392
15385|TERCERA|393
15386|SEGUNDA|394
15387|TERCERA|395
15388|AGENCIA DE VIAJES INTERNACIONAL|396
15389|2 Estrellas|397
15390|PRIMERA|398
15391|CUARTA|399
15392|AGENCIA DE VIAJES DUAL|400
15393|OPERADOR TURÍSTICO|401
15394|TERCERA|402
15395|TERCERA|403
15396|TERCERA|404
15397|TERCERA|405
15398|TERCERA|406
15399|TERCERA|407
15400|TERCERA|408
15401|TERCERA|409
15402|TERCERA|410
15403|TERCERA|411
15404|TERCERA|412
15405|TERCERA|413
15406|TERCERA|414
15407|TERCERA|415
15408|TERCERA|416
15409|TERCERA|417
15410|TERCERA|418
15411|TERCERA|419
15412|TERCERA|420
15413|TERCERA|421
15414|TERCERA|422
15415|TERCERA|423
15416|SEGUNDA|424
15417|TERCERA|425
15418|TERCERA|426
15419|TERCERA|427
15420|PRIMERA|428
15421|TERCERA|429
15422|TERCERA|430
15423|RENT A CAR|431
15424|TERCERA|432
15425|SEGUNDA|433
15426|SEGUNDA|434
15427|OPERADOR TURÍSTICO|435
15428|(1) Un tenedor|436
15429|OPERADOR TURÍSTICO|437
15430|OPERADOR TURÍSTICO|438
15431|OPERADOR TURÍSTICO|439
15432|OPERADOR TURÍSTICO|440
15433|1 Estrellas|441
15434|AGENCIA DE VIAJES INTERNACIONAL|442
15435|INTER_OPER|443
15436|INTER_OPER|444
15437|INTER_OPER|445
15438|SERVICIO NACIONAL AEREO|446
15439|INTER_OPER|447
15440|INTER_OPER|448
15441|INTER_OPER|449
15442|AGENCIA DE VIAJES INTERNACIONAL|450
15443|RENT A CAR|451
15444|RENT A CAR|452
15445|OPERADOR TURÍSTICO|453
15446|SEGUNDA|454
15447|3 Estrellas|455
15448|Categoría única|456
15449|SEGUNDA|457
15450|1 Estrellas|458
15451|CUARTA|459
15452|2 Estrellas|460
15453|YATES_PASAJ|461
15454|PRIMERA|462
15455|PRIMERA|463
15456|SEGUNDA|464
15457|1 Estrellas|465
15458|CUARTA|466
15459|SEGUNDA|467
15460|SEGUNDA|468
15461|PRIMERA|469
15462|1 Estrellas|470
15463|TERCERA|471
15464|TERCERA|472
15465|SEGUNDA|473
15466|TERCERA|474
15467|Categoría única|475
15468|SEGUNDA|476
15469|4 Estrellas|477
15470|CUARTA|478
15471|TERCERA|479
15472|(1) Una copa|480
15473|CUARTA|481
15474|TERCERA|482
15475|SEGUNDA|483
15476|SEGUNDA|484
15477|SEGUNDA|485
15478|SEGUNDA|486
15479|3 Estrellas|487
15480|OPERADOR TURÍSTICO|488
15481|OPERADOR TURÍSTICO|489
15482|PRIMERA|490
15483|1 Estrellas|491
15484|TERCERA|492
15485|TERCERA|493
15486|SEGUNDA|494
15487|AGENCIA DE VIAJES DUAL|495
15488|OPERADOR TURÍSTICO|496
15489|(1) Una copa|497
15490|TERCERA|498
15491|SEGUNDA|499
15492|TERCERA|500
15493|SEGUNDA|501
15494|SEGUNDA|502
15495|SEGUNDA|503
15496|SEGUNDA|504
15497|TERCERA|505
15498|SEGUNDA|506
15499|SEGUNDA|507
15500|SEGUNDA|508
15501|SEGUNDA|509
15502|TERCERA|510
15503|TERCERA|511
15504|SEGUNDA|512
15505|TERCERA|513
15506|SEGUNDA|514
15507|TERCERA|515
15508|TERCERA|516
15509|TERCERA|517
15510|TERCERA|518
15511|SEGUNDA|519
15512|TERCERA|520
15513|SEGUNDA|521
15514|TERCERA|522
15515|SEGUNDA|523
15516|SEGUNDA|524
15517|TERCERA|525
15518|SEGUNDA|526
15519|TERCERA|527
15520|CUARTA|528
15521|TERCERA|529
15522|TERCERA|530
15523|TERCERA|531
15524|CUARTA|532
15525|TERCERA|533
15526|CUARTA|534
15527|SEGUNDA|535
15528|SEGUNDA|536
15529|TERCERA|537
15530|SEGUNDA|538
15531|TERCERA|539
15532|(1) Una copa|540
15533|TERCERA|541
15534|AGENCIA DE VIAJES INTERNACIONAL|542
15535|TERCERA|543
15536|CUARTA|544
15537|TERCERA|545
15538|TERCERA|546
15539|CUARTA|547
15540|SEGUNDA|548
15541|SEGUNDA|549
15542|CUARTA|550
15543|SEGUNDA|551
15544|(1) Una copa|552
15545|(2) Dos tenedores|553
15546|(1) Una copa|554
15547|CUARTA|555
15548|SEGUNDA|556
15549|SEGUNDA|557
15550|Categoría única|558
15551|CUARTA|559
15552|SEGUNDA|560
15553|SEGUNDA|561
15554|TERCERA|562
15555|SEGUNDA|563
15556|SEGUNDA|564
15557|PRIMERA|565
15558|TERCERA|566
15559|TERCERA|567
15560|SEGUNDA|568
15561|TERCERA|569
15562|SEGUNDA|570
15563|SEGUNDA|571
15564|SEGUNDA|572
15565|TERCERA|573
15566|TERCERA|574
15567|CUARTA|575
15568|TERCERA|576
15569|TERCERA|577
15570|(1) Una copa|578
15571|CUARTA|579
15572|2 Estrellas|580
15573|AGENCIA DE VIAJES INTERNACIONAL|581
15574|3 Estrellas|582
15575|Categoría única|583
15576|CUARTA|584
15577|TERCERA|585
15578|CUARTA|586
15579|TERCERA|587
15580|TERCERA|588
15581|2 Estrellas|589
15582|TERCERA|590
15583|TERCERA|591
15584|2 Estrellas|592
15585|CUARTA|593
15586|Categoría única|594
15587|OPERADOR TURÍSTICO|595
15588|(1) Un tenedor|596
15589|PRIMERA|597
15590|CUARTA|598
15591|CUARTA|599
15592|OPERADOR TURÍSTICO|600
15593|TERCERA|601
15594|TERCERA|602
15595|SEGUNDA|603
15596|PRIMERA|604
15597|2 Estrellas|605
15598|OPERADOR TURÍSTICO|606
15599|SEGUNDA|607
15600|TERCERA|608
15601|CUARTA|609
15602|TERCERA|610
15603|SEGUNDA|611
15604|TERCERA|612
15605|TERCERA|613
15606|1 Estrellas|614
15607|OPERADOR TURÍSTICO|615
15608|TERCERA|616
15609|TERCERA|617
15610|TERCERA|618
15611|PRIMERA|619
15612|TERCERA|620
15613|(1) Una tazas|621
15614|TERCERA|622
15615|SEGUNDA|623
15616|TERCERA|624
15617|SEGUNDA|625
15618|SEGUNDA|626
15619|TERCERA|627
15620|SEGUNDA|628
15621|1 Estrellas|629
15622|(1) Una copa|630
15623|TERCERA|631
15624|TERCERA|632
15625|SEGUNDA|633
15626|SEGUNDA|634
15627|CUARTA|635
15628|CUARTA|636
15629|TERCERA|637
15630|SEGUNDA|638
15631|(2) Dos tenedores|639
15632|(2) Dos tazas|640
15633|PRIMERA|641
15634|(1) Una copa|642
15635|PRIMERA|643
15636|4 Estrellas|644
15637|3 Estrellas|645
15638|3 Estrellas|646
15639|TERCERA|647
15640|SEGUNDA|648
15641|OPERADOR TURÍSTICO|649
15642|Categoría única|650
15643|TERCERA|651
15644|TERCERA|652
15645|OPERADOR TURÍSTICO|653
15646|AGENCIA DE VIAJES DUAL|654
15647|AGENCIA DE VIAJES DUAL|655
15648|AGENCIA DE VIAJES MAYORISTA|656
15649|PRIMERA|657
15650|(1) Un tenedor|658
15651|(1) Un tenedor|659
15652|(1) Un tenedor|660
15653|TERCERA|661
15654|PRIMERA|662
15655|CUARTA|663
15656|SEGUNDA|664
15657|SEGUNDA|665
15658|TERCERA|666
15659|CUARTA|667
15660|CUARTA|668
15661|CUARTA|669
15662|CUARTA|670
15663|CUARTA|671
15664|TERCERA|672
15665|2 Estrellas|673
15666|TERCERA|674
15667|SEGUNDA|675
15668|SEGUNDA|676
15669|SEGUNDA|677
15670|(1) Un tenedor|678
15671|Categoría única|679
15672|SEGUNDA|680
15673|TERCERA|681
15674|SEGUNDA|682
15675|SEGUNDA|683
15676|TERCERA|684
15677|1 Estrellas|685
15678|CUARTA|686
15679|CUARTA|687
15680|TERCERA|688
15681|CUARTA|689
15682|TERCERA|690
15683|TERCERA|691
15684|TERCERA|692
15685|SEGUNDA|693
15686|PRIMERA|694
15687|TERCERA|695
15688|TERCERA|696
15689|SEGUNDA|697
15690|TERCERA|698
15691|TERCERA|699
15692|TERCERA|700
15693|PRIMERA|701
15694|TERCERA|702
15695|SEGUNDA|703
15696|TERCERA|704
15697|(1) Una taza|705
15698|(1) Una taza|706
15699|CUARTA|707
15700|1 Estrellas|708
15701|TERCERA|709
15702|CUARTA|710
15703|TERCERA|711
15704|TERCERA|712
15705|TERCERA|713
15706|TERCERA|714
15707|OPERADOR TURÍSTICO|715
15708|SEGUNDA|716
15709|SEGUNDA|717
15710|TERCERA|718
15711|(3) Tres copas|719
15712|(1) Un tenedor|720
15713|Categoría única|721
15714|TERCERA|722
15715|3 Estrellas|723
15716|TERCERA|724
15717|AGENCIA DE VIAJES DUAL|725
15718|AGENCIA DE VIAJES DUAL|726
15719|TERCERA|727
15720|SEGUNDA|728
15721|TERCERA|729
15722|SEGUNDA|730
15723|SEGUNDA|731
15724|2 Estrellas|732
15725|TERCERA|733
15726|TERCERA|734
15727|TERCERA|735
15728|2 Estrellas|736
15729|TERCERA|737
15730|TERCERA|738
15731|CUARTA|739
15732|TERCERA|740
15733|SEGUNDA|741
15734|CUARTA|742
15735|SEGUNDA|743
15736|TERCERA|744
15737|TERCERA|745
15738|CUARTA|746
15739|CUARTA|747
15740|3 Estrellas|748
15741|SEGUNDA|749
15742|TERCERA|750
15743|TERCERA|751
