idCategoria|Categoría|horarios|idEstablecimiento
121|PRIMERA / 3 COPAS|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22330
122|(1) Una tazas|Lunes a viernes de 08:00 a 18:00|22331
123|(1) Un tenedor|Lunes a domingo 24 horas|22332
124|SEGUNDA|Lunes a domingo 24 horas|22333
125|Categoría única|Lunes a sabado de 06:00 a22:00|22334
126|2 Estrellas|Lunes a viernes de 08:00 a 18:00|22335
127|TERCERA|Lunes a sabado de 08:00 a22:00|22336
128|SEGUNDA|Lunes a sabado de 08:00 a22:00|22337
129|TERCERA|Lunes a Viernes 08h30 a 17h00|22338
130|1 Estrellas|Lunes a Viernes 08h30 a 17h00|22339
131|2 Estrellas|Lunes a viernes de 08:00 a 18:00|22340
132|1 Estrellas|Lunes a domingo 24 horas|22341
133|PRIMERA|Lunes a sabado de 08:00 a22:00|22342
134|CUARTA|Lunes a viernes 06:00 a 20:00|22343
135|TERCERA|Lunes a sabado de 08:00 a22:00|22344
136|3 Estrellas|Lunes a sabado de 08:00 a22:00|22345
137|TERCERA|Lunes a domingo 24 horas|22346
138|Categoría única|Lunes a sabado de 08:00 a22:00|22347
139|SEGUNDA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22348
140|(2) Dos tazas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22349
141|SEGUNDA|Lunes a Domingo 24 horas|22350
142|PRIMERA|Lunes a Domingo 24 horas|22351
143|3 Estrellas|Lunes a Domingo 24 horas|22352
144|1 Estrellas|Lunes a Viernes 08h30 a 17h30|22353
145|TERCERA|Lunes a sabado de 08:00 a22:00|22354
146|TERCERA|Lunes a sabado de 08:00 a22:00|22355
147|SEGUNDA|Lunes a Viernes 08h30 a 17h00|22356
148|PRIMERA|Lunes a sabado de 08:00 a22:00|22357
149|TERCERA|Lunes a sabado de 08:00 a22:00|22358
150|4 Estrellas|Lunes a sabado de 08:00 a22:00|22359
151|(2) Dos tenedores|Lunes a sabado de 08:00 a22:00|22360
152|TERCERA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22361
153|(1) Un tenedor|Lunes a sabado de 08:00 a22:00|22362
154|3 Estrellas|Lunes a sabado de 08:00 a22:00|22363
155|TERCERA|Lunes a sabado de 08:00 a22:00|22364
156|3 Estrellas|Lunes a viernes 06:00 a 20:00|22365
157|PRIMERA|Lunes a sabado de 08:00 a22:00|22366
158|TERCERA|Lunes a sabado de 08:00 a22:00|22367
159|SEGUNDA|Lunes a viernes de 9:00 a 15:00, Lunes a viernes de 16:00 a 22:00|22368
160|(1) Un tenedor|Lunes a domingo 24 horas|22369
161|TERCERA|Lunes a viernes de 08:00 a 18:00|22370
162|4 Estrellas|Lunes a sabado de 08:00 a22:00|22371
163|3 Estrellas|Lunes a sabado de 08:00 a22:00|22372
164|TERCERA|Lunes a Viernes 08h30 a 17h30|22373
165|TERCERA|Lunes a domingo 24 horas|22374
166|(1) Una taza|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22375
167|SEGUNDA|Lunes a viernes 06:00 a 20:00|22376
168|1 Estrellas|Lunes a domingo 24 horas|22377
169|TERCERA|Lunes a Viernes 08h30 a 17h30|22378
170|CUARTA|Lunes a domingo 24 horas|22379
171|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22380
172|TERCERA|Lunes a Viernes 08h30 a 17h00|22381
173|3 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22382
174|(1) Un tenedor|Lunes a sabado de 08:00 a22:00|22383
175|2 Estrellas|Lunes a domingo 24 horas|22384
176|CUARTA|Lunes a viernes 06:00 a 20:00|22385
177|2 Estrellas|Lunes a sabado de 08:00 a22:00|22386
178|SEGUNDA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22387
179|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22388
180|TERCERA|Lunes a sabado de 08:00 a22:00|22389
181|CUARTA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22390
182|TERCERA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22391
183|PRIMERA|Lunes a sabado de 08:00 a22:00|22392
184|1 Estrellas|Lunes a domingo 24 horas|22393
185|(1) Un tenedor|Lunes a viernes de 08:00 a 18:00|22394
186|TERCERA|Lunes a viernes de 08:00 a 18:00|22395
187|CUARTA|Lunes a viernes de 08:00 a 18:00|22396
188|TERCERA|Lunes a sabado de 08:00 a22:00|22397
189|Categoría única|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22398
190|CUARTA|Lunes a Viernes 08h30 a 17h30|22399
191|3 Estrellas|Lunes a sabado de 08:00 a22:00|22400
192|TERCERA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22401
193|(1) Un tenedor|Lunes a sabado de 08:00 a22:00|22402
194|TERCERA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22403
195|Categoría única|Lunes a Viernes 08h30 a 17h00|22404
196|TERCERA|Lunes a sabado de 08:00 a22:00|22405
197|1 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22406
198|TERCERA|Lunes a domingo 24 horas|22407
199|3 Estrellas|Lunes a viernes de 08:00 a 18:00|22408
200|TERCERA|Lunes a sabado de 08:00 a22:00|22409
201|TERCERA|Lunes a domingo 24 horas|22410
202|2 Estrellas|Lunes a domingo 24 horas|22411
203|3 Estrellas|Lunes a domingo 24 horas|22412
204|1 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22413
205|SEGUNDA|Lunes a sabado de 08:00 a22:00|22414
206|SEGUNDA|Lunes a domingo 24 horas|22415
207|TERCERA|Lunes a sabado de 08:00 a22:00|22416
208|1 Estrellas|Lunes a Domingo 24 horas|22417
209|(1) Una copa|Lunes a Domingo 24 horas|22418
210|2 Estrellas|Lunes a viernes 06:00 a 20:00|22419
211|TERCERA|Lunes a sabado de 08:00 a22:00|22420
212|SEGUNDA|Lunes a Domingo 24 horas|22421
213|3 Estrellas|Lunes a sabado de 08:00 a22:00|22422
214|TERCERA|Lunes a Viernes 08h30 a 17h30|22423
215|TERCERA|Lunes a Domingo 24 horas|22424
216|TERCERA|Lunes a Domingo 24 horas|22425
217|2 ESTRELLAS|Lunes a sabado de 06:00 a22:00|22426
218|TERCERA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22427
