id_parroquia|nombre_parroquia|
89096|SAN SEBASTIÁN|
89097|ABDÓN CALDERÓN (LA UNIÓN)|
89098|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89099|EL SAGRARIO|
89100|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89101|CHORDELEG, CABECERA CANTONAL|
89102|EL SAGRARIO|
89103|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89104|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89105|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89106|EL SAGRARIO|
89107|QUITO|
89108|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
89109|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89110|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89111|BELLAVISTA|
89112|SUCRE|
89113|GUALACEO, CABECERA CANTONAL|
89114|TOTORACOCHA|
89115|EL BATÁN|
89116|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89117|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89118|EL SAGRARIO|
89119|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89120|PAUTE, CABECERA CANTONAL|
89121|TUMBACO|
89122|GUALACEO, CABECERA CANTONAL|
89123|SAYAUSÍ|
89124|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89125|SHUSHUFINDI, CABECERA CANTONAL|
89126|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89127|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89128|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89129|SAN GABRIEL, CABECERA CANTONAL|
89130|BAÑOS|
89131|SAN JUAN BOSCO, CABECERA CANTONAL|
89132|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89133|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89134|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89135|SAN SEBASTIÁN|
89136|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89137|LA TRONCAL, CABECERA CANTONAL|
89138|TOTORACOCHA|
89139|SAN BLAS|
89140|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89141|SANTIAGO DE MÉNDEZ, CABECERA CANTONAL|
89142|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89143|ÁNGEL POLIBIO CHÁVES|
89144|EL SAGRARIO|
89145|HUAYNACÁPAC|
89146|QUITO|
89147|EL SAGRARIO|
89148|SAN BLAS|
89149|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89150|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89151|EL SAGRARIO|
89152|SUCRE|
89153|QUITO|
89154|HUAYNACÁPAC|
89155|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89156|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89157|GUALACEO, CABECERA CANTONAL|
89158|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89159|GUALACEO, CABECERA CANTONAL|
89160|GUALACEO, CABECERA CANTONAL|
89161|GUALACEO, CABECERA CANTONAL|
89162|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89163|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89164|EL VECINO|
89165|EL BATÁN|
89166|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89167|GIL RAMÍREZ DÁVALOS|
89168|YANUNCAY|
89169|SUCRE|
89170|HUAYNACÁPAC|
89171|EL SAGRARIO|
89172|SAN SEBASTIÁN|
89173|HUAYNACÁPAC|
89174|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89175|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89176|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89177|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89178|YANUNCAY|
89179|BAÑOS|
89180|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89181|EL SAGRARIO|
89182|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89183|EL VECINO|
89184|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89185|EL SAGRARIO|
89186|TOTORACOCHA|
89187|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
89188|SAN BLAS|
89189|HUAYNACÁPAC|
89190|SAN SEBASTIÁN|
89191|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89192|EL TRIUNFO, CABECERA CANTONAL|
89193|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89194|HUAYNACÁPAC|
89195|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89196|SAN BLAS|
89197|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89198|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89199|GUALACEO, CABECERA CANTONAL|
89200|SAN BLAS|
89201|SAN SEBASTIÁN|
89202|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89203|EL SAGRARIO|
89204|EL SAGRARIO|
89205|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89206|TONSUPA|
89207|PAUTE, CABECERA CANTONAL|
89208|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89209|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89210|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89211|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89212|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89213|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89214|EL SAGRARIO|
89215|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89216|YANUNCAY|
89217|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89218|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89219|EL BATÁN|
89220|EL BATÁN|
89221|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89222|EL SAGRARIO|
89223|PUERTO VILLAMIL, CABECERA CANTONAL|
89224|GUALACEO, CABECERA CANTONAL|
89225|EL SAGRARIO|
89226|SAN BLAS|
89227|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89228|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89229|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89230|MONAY|
89231|HUAYNACÁPAC|
89232|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89233|EL SAGRARIO|
89234|SAN BLAS|
89235|MILTON REYES|
89236|TARIFA|
89237|BELLAVISTA|
89238|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89239|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89240|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89241|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89242|SAN FELIPE DE OÑA, CABECERA CANTONAL|
89243|EL SAGRARIO|
89244|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89245|MONAY|
89246|NULTI|
89247|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89248|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89249|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89250|SAN FERNANDO, CABECERA CANTONAL|
89251|GUALACEO, CABECERA CANTONAL|
89252|JAVIER LOYOLA (CHUQUIPATA)|
89253|PEDERNALES, CABECERA CANTONAL|
89254|SANTO DOMINGO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89255|EL SAGRARIO|
89256|MANGLARALTO|
89257|VELASCO|
89258|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89259|BELLAVISTA|
89260|EL TRIUNFO, CABECERA CANTONAL|
89261|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89262|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89263|QUITO|
89264|GUALAQUIZA, CABECERA CANTONAL|
89265|GIL RAMÍREZ DÁVALOS|
89266|GUALACEO, CABECERA CANTONAL|
89267|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89268|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89269|EL SAGRARIO|
89270|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89271|GENERAL LEONIDAS PLAZA GUTIÉRREZ, CABECERA CANTONAL|
89272|SAN JOAQUÍN|
89273|SAN BLAS|
89274|EL BATÁN|
89275|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89276|GIRÓN, CABECERA CANTONAL|
89277|JAVIER LOYOLA (CHUQUIPATA)|
89278|EL SAGRARIO|
89279|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89280|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89281|PAUTE, CABECERA CANTONAL|
89282|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89283|HUAYNACÁPAC|
89284|GIL RAMÍREZ DÁVALOS|
89285|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89286|MANGLARALTO|
89287|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89288|CAÑARIBAMBA|
89289|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89290|QUITO|
89291|EL TRIUNFO, CABECERA CANTONAL|
89292|ASUNCIÓN|
89293|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89294|QUITO|
89295|COJIMÍES|
89296|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89297|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89298|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89299|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89300|EL BATÁN|
89301|SAN BLAS|
89302|EL SAGRARIO|
89303|SAN BLAS|
89304|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89305|SUCRE|
89306|SAN SEBASTIÁN|
89307|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89308|GUALACEO, CABECERA CANTONAL|
89309|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89310|TARQUI|
89311|EL BATÁN|
89312|EL SAGRARIO|
89313|LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89314|GIRÓN, CABECERA CANTONAL|
89315|YANUNCAY|
89316|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89317|LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89318|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89319|SAN FERNANDO, CABECERA CANTONAL|
89320|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89321|SAN BLAS|
89322|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89323|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89324|EL SAGRARIO|
89325|EL VECINO|
89326|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89327|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89328|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89329|VALLE|
89330|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89331|SAN SEBASTIÁN|
89332|EL BATÁN|
89333|QUITO|
89334|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89335|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89336|SAN SEBASTIÁN|
89337|SAN BLAS|
89338|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89339|SAN FERNANDO, CABECERA CANTONAL|
89340|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89341|EL VECINO|
89342|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89343|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89344|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89345|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89346|EL BATÁN|
89347|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89348|SUCRE|
89349|BAÑOS|
89350|QUITO|
89351|MARIANO MORENO|
89352|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89353|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89354|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89355|SIMÓN BOLÍVAR (CAB. EN GAÑANZOL)|
89356|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89357|GIL RAMÍREZ DÁVALOS|
89358|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
